,leaf_ID,disease_binary
1441,2004,1
1441,2004,1
1442,2004,1
1442,2004,1
1445,4326,1
1445,4326,1
1446,4326,1
1446,4326,1
1447,4326,1
1447,4326,1
1449,4326,1
1449,4326,1
1450,4326,1
1450,4326,1
1452,4625,1
1452,4625,1
1458,4534,1
1458,4534,1
1459,4534,1
1459,4534,1
1460,4534,1
1460,4534,1
1462,4534,1
1462,4534,1
1477,1263,1
1477,1263,1
1479,1263,1
1479,1263,1
1480,1263,1
1480,1263,1
1481,1263,1
1481,1263,1
1607,3463,1
1607,3463,1
1610,3463,1
1610,3463,1
1613,3463,1
1613,3463,1
1616,3534,1
1616,3534,1
1620,3534,1
1620,3534,1
1621,3534,1
1621,3534,1
1623,3534,1
1623,3534,1
1624,1649,1
1624,1649,1
1628,1649,1
1628,1649,1
1630,1649,1
1630,1649,1
1631,1649,1
1631,1649,1
1636,4253,1
1636,4253,1
1638,4253,1
1638,4253,1
1641,4253,1
1641,4253,1
1642,4253,1
1642,4253,1
1646,2511,1
1646,2511,1
1647,2511,1
1647,2511,1
1648,2511,1
1648,2511,1
1651,2511,1
1651,2511,1
1655,3359,1
1655,3359,1
1657,3359,1
1657,3359,1
1658,3359,1
1658,3359,1
1661,1370,1
1661,1370,1
1664,1370,1
1664,1370,1
1670,146,1
1670,146,1
1672,146,1
1672,146,1
1674,146,1
1674,146,1
1675,146,1
1675,146,1
1678,382,1
1678,382,1
1681,382,1
1681,382,1
1684,1202,1
1684,1202,1
1685,1202,1
1685,1202,1
1687,1202,1
1687,1202,1
1689,1202,1
1689,1202,1
1690,1202,1
1690,1202,1
1693,2547,1
1693,2547,1
1698,4025,1
1698,4025,1
1700,4025,1
1700,4025,1
1702,4025,1
1702,4025,1
1704,4025,1
1704,4025,1
1718,1660,1
1718,1660,1
1719,1660,1
1719,1660,1
1722,1660,1
1722,1660,1
1726,1576,1
1726,1576,1
1730,1576,1
1730,1576,1
1732,4694,1
1732,4694,1
1733,4694,1
1733,4694,1
1735,4694,1
1735,4694,1
1739,4694,1
1739,4694,1
1741,1871,1
1741,1871,1
1742,1871,1
1742,1871,1
1745,1871,1
1745,1871,1
1748,1871,1
1748,1871,1
1750,6045,1
1750,6045,1
1752,6045,1
1752,6045,1
1755,6045,1
1755,6045,1
1758,6045,1
1758,6045,1
1761,1365,1
1761,1365,1
1763,1365,1
