,leaf_ID,plant_disease
1441,2004,Potato___healthy
1441,2004,Potato___healthy
1442,2004,Potato___healthy
1442,2004,Potato___healthy
1445,4326,Potato___healthy
1445,4326,Potato___healthy
1446,4326,Potato___healthy
1446,4326,Potato___healthy
1447,4326,Potato___healthy
1447,4326,Potato___healthy
1449,4326,Potato___healthy
1449,4326,Potato___healthy
1450,4326,Potato___healthy
1450,4326,Potato___healthy
1452,4625,Potato___healthy
1452,4625,Potato___healthy
1458,4534,Potato___healthy
1458,4534,Potato___healthy
1459,4534,Potato___healthy
1459,4534,Potato___healthy
1460,4534,Potato___healthy
1460,4534,Potato___healthy
1462,4534,Potato___healthy
1462,4534,Potato___healthy
1477,1263,Potato___healthy
1477,1263,Potato___healthy
1479,1263,Potato___healthy
1479,1263,Potato___healthy
1480,1263,Potato___healthy
1480,1263,Potato___healthy
1481,1263,Potato___healthy
1481,1263,Potato___healthy
1607,3463,Strawberry___healthy
1607,3463,Strawberry___healthy
1610,3463,Strawberry___healthy
1610,3463,Strawberry___healthy
1613,3463,Strawberry___healthy
1613,3463,Strawberry___healthy
1616,3534,Strawberry___healthy
1616,3534,Strawberry___healthy
1620,3534,Strawberry___healthy
1620,3534,Strawberry___healthy
1621,3534,Strawberry___healthy
1621,3534,Strawberry___healthy
1623,3534,Strawberry___healthy
1623,3534,Strawberry___healthy
1624,1649,Strawberry___healthy
1624,1649,Strawberry___healthy
1628,1649,Strawberry___healthy
1628,1649,Strawberry___healthy
1630,1649,Strawberry___healthy
1630,1649,Strawberry___healthy
1631,1649,Strawberry___healthy
1631,1649,Strawberry___healthy
1636,4253,Strawberry___healthy
1636,4253,Strawberry___healthy
1638,4253,Strawberry___healthy
1638,4253,Strawberry___healthy
1641,4253,Strawberry___healthy
1641,4253,Strawberry___healthy
1642,4253,Strawberry___healthy
1642,4253,Strawberry___healthy
1646,2511,Strawberry___healthy
1646,2511,Strawberry___healthy
1647,2511,Strawberry___healthy
1647,2511,Strawberry___healthy
1648,2511,Strawberry___healthy
1648,2511,Strawberry___healthy
1651,2511,Strawberry___healthy
1651,2511,Strawberry___healthy
1655,3359,Strawberry___healthy
1655,3359,Strawberry___healthy
1657,3359,Strawberry___healthy
1657,3359,Strawberry___healthy
1658,3359,Strawberry___healthy
1658,3359,Strawberry___healthy
1661,1370,Strawberry___healthy
1661,1370,Strawberry___healthy
1664,1370,Strawberry___healthy
1664,1370,Strawberry___healthy
1670,146,Strawberry___healthy
1670,146,Strawberry___healthy
1672,146,Strawberry___healthy
1672,146,Strawberry___healthy
1674,146,Strawberry___healthy
1674,146,Strawberry___healthy
1675,146,Strawberry___healthy
1675,146,Strawberry___healthy
1678,382,Strawberry___healthy
1678,382,Strawberry___healthy
1681,382,Strawberry___healthy
1681,382,Strawberry___healthy
1684,1202,Strawberry___healthy
1684,1202,Strawberry___healthy
1685,1202,Strawberry___healthy
1685,1202,Strawberry___healthy
1687,1202,Strawberry___healthy
1687,1202,Strawberry___healthy
1689,1202,Strawberry___healthy
1689,1202,Strawberry___healthy
1690,1202,Strawberry___healthy
1690,1202,Strawberry___healthy
1693,2547,Strawberry___healthy
1693,2547,Strawberry___healthy
1698,4025,Strawberry___healthy
1698,4025,Strawberry___healthy
1700,4025,Strawberry___healthy
1700,4025,Strawberry___healthy
1702,4025,Strawberry___healthy
1702,4025,Strawberry___healthy
1704,4025,Strawberry___healthy
1704,4025,Strawberry___healthy
1718,1660,Strawberry___healthy
1718,1660,Strawberry___healthy
1719,1660,Strawberry___healthy
1719,1660,Strawberry___healthy
1722,1660,Strawberry___healthy
1722,1660,Strawberry___healthy
1726,1576,Strawberry___healthy
1726,1576,Strawberry___healthy
1730,1576,Strawberry___healthy
1730,1576,Strawberry___healthy
1732,4694,Strawberry___healthy
1732,4694,Strawberry___healthy
1733,4694,Strawberry___healthy
1733,4694,Strawberry___healthy
1735,4694,Strawberry___healthy
1735,4694,Strawberry___healthy
1739,4694,Strawberry___healthy
1739,4694,Strawberry___healthy
1741,1871,Strawberry___healthy
1741,1871,Strawberry___healthy
1742,1871,Strawberry___healthy
1742,1871,Strawberry___healthy
1745,1871,Strawberry___healthy
1745,1871,Strawberry___healthy
1748,1871,Strawberry___healthy
1748,1871,Strawberry___healthy
1750,6045,Strawberry___healthy
1750,6045,Strawberry___healthy
1752,6045,Strawberry___healthy
1752,6045,Strawberry___healthy
1755,6045,Strawberry___healthy
1755,6045,Strawberry___healthy
1758,6045,Strawberry___healthy
1758,6045,Strawberry___healthy
1761,1365,Strawberry___healthy
1761,1365,Strawberry___healthy
1763,1365,Strawberry___healthy
1763,1365,Strawberry___healthy
1767,1365,Strawberry___healthy
1767,1365,Strawberry___healthy
1768,1365,Strawberry___healthy
1768,1365,Strawberry___healthy
1772,5156,Strawberry___healthy
1772,5156,Strawberry___healthy
1777,5156,Strawberry___healthy
1777,5156,Strawberry___healthy
1778,5156,Strawberry___healthy
1778,5156,Strawberry___healthy
1779,3626,Strawberry___healthy
1779,3626,Strawberry___healthy
1783,3626,Strawberry___healthy
1783,3626,Strawberry___healthy
1785,3626,Strawberry___healthy
1785,3626,Strawberry___healthy
1787,3626,Strawberry___healthy
1787,3626,Strawberry___healthy
1789,3210,Strawberry___healthy
1789,3210,Strawberry___healthy
1793,3210,Strawberry___healthy
1793,3210,Strawberry___healthy
1794,3210,Strawberry___healthy
1794,3210,Strawberry___healthy
1795,3210,Strawberry___healthy
1795,3210,Strawberry___healthy
1799,4103,Strawberry___healthy
1799,4103,Strawberry___healthy
1802,4103,Strawberry___healthy
1802,4103,Strawberry___healthy
1805,4103,Strawberry___healthy
1805,4103,Strawberry___healthy
1808,2501,Strawberry___healthy
1808,2501,Strawberry___healthy
1809,2501,Strawberry___healthy
1809,2501,Strawberry___healthy
1810,2501,Strawberry___healthy
1810,2501,Strawberry___healthy
1813,2501,Strawberry___healthy
1813,2501,Strawberry___healthy
1815,2501,Strawberry___healthy
1815,2501,Strawberry___healthy
1819,4854,Strawberry___healthy
1819,4854,Strawberry___healthy
1821,4854,Strawberry___healthy
1821,4854,Strawberry___healthy
1822,4854,Strawberry___healthy
1822,4854,Strawberry___healthy
1828,5493,Strawberry___healthy
1828,5493,Strawberry___healthy
1831,5493,Strawberry___healthy
1831,5493,Strawberry___healthy
1833,5493,Strawberry___healthy
1833,5493,Strawberry___healthy
1836,3735,Strawberry___healthy
1836,3735,Strawberry___healthy
1838,3735,Strawberry___healthy
1838,3735,Strawberry___healthy
1840,3735,Strawberry___healthy
1840,3735,Strawberry___healthy
1845,3547,Strawberry___healthy
1845,3547,Strawberry___healthy
1846,3547,Strawberry___healthy
1846,3547,Strawberry___healthy
1847,3547,Strawberry___healthy
1847,3547,Strawberry___healthy
1850,3547,Strawberry___healthy
1850,3547,Strawberry___healthy
1852,3547,Strawberry___healthy
1852,3547,Strawberry___healthy
1854,1389,Strawberry___healthy
1854,1389,Strawberry___healthy
1859,1389,Strawberry___healthy
1859,1389,Strawberry___healthy
1862,1389,Strawberry___healthy
1862,1389,Strawberry___healthy
1865,2290,Strawberry___healthy
1865,2290,Strawberry___healthy
1868,2290,Strawberry___healthy
1868,2290,Strawberry___healthy
1869,2290,Strawberry___healthy
1869,2290,Strawberry___healthy
1870,2290,Strawberry___healthy
1870,2290,Strawberry___healthy
1872,2290,Strawberry___healthy
1872,2290,Strawberry___healthy
1873,1310,Strawberry___healthy
1873,1310,Strawberry___healthy
1879,1310,Strawberry___healthy
1879,1310,Strawberry___healthy
1880,1310,Strawberry___healthy
1880,1310,Strawberry___healthy
1883,3203,Strawberry___healthy
1883,3203,Strawberry___healthy
1884,3203,Strawberry___healthy
1884,3203,Strawberry___healthy
1888,3203,Strawberry___healthy
1888,3203,Strawberry___healthy
1890,3203,Strawberry___healthy
1890,3203,Strawberry___healthy
1894,4296,Strawberry___healthy
1894,4296,Strawberry___healthy
1895,4296,Strawberry___healthy
1895,4296,Strawberry___healthy
1899,4296,Strawberry___healthy
1899,4296,Strawberry___healthy
1903,5667,Strawberry___healthy
1903,5667,Strawberry___healthy
1905,5667,Strawberry___healthy
1905,5667,Strawberry___healthy
1906,5667,Strawberry___healthy
1906,5667,Strawberry___healthy
1908,5667,Strawberry___healthy
1908,5667,Strawberry___healthy
1921,2143,Strawberry___healthy
1921,2143,Strawberry___healthy
1923,2143,Strawberry___healthy
1923,2143,Strawberry___healthy
1926,2143,Strawberry___healthy
1926,2143,Strawberry___healthy
1930,1829,Strawberry___healthy
1930,1829,Strawberry___healthy
1936,4224,Strawberry___healthy
1936,4224,Strawberry___healthy
1937,4224,Strawberry___healthy
1937,4224,Strawberry___healthy
1938,4224,Strawberry___healthy
1938,4224,Strawberry___healthy
1941,4224,Strawberry___healthy
1941,4224,Strawberry___healthy
1943,4224,Strawberry___healthy
1943,4224,Strawberry___healthy
1945,515,Strawberry___healthy
1945,515,Strawberry___healthy
1949,515,Strawberry___healthy
1949,515,Strawberry___healthy
1950,515,Strawberry___healthy
1950,515,Strawberry___healthy
1954,1046,Strawberry___healthy
1954,1046,Strawberry___healthy
1956,1046,Strawberry___healthy
1956,1046,Strawberry___healthy
1958,1046,Strawberry___healthy
1958,1046,Strawberry___healthy
1959,1046,Strawberry___healthy
1959,1046,Strawberry___healthy
1968,4583,Strawberry___healthy
1968,4583,Strawberry___healthy
1969,4583,Strawberry___healthy
1969,4583,Strawberry___healthy
1970,2947,Strawberry___healthy
1970,2947,Strawberry___healthy
1971,2947,Strawberry___healthy
1971,2947,Strawberry___healthy
1975,2947,Strawberry___healthy
1975,2947,Strawberry___healthy
1979,1194,Strawberry___healthy
1979,1194,Strawberry___healthy
1980,1194,Strawberry___healthy
1980,1194,Strawberry___healthy
1981,1194,Strawberry___healthy
1981,1194,Strawberry___healthy
1982,1194,Strawberry___healthy
1982,1194,Strawberry___healthy
1984,1194,Strawberry___healthy
1984,1194,Strawberry___healthy
1988,2924,Strawberry___healthy
1988,2924,Strawberry___healthy
1991,2924,Strawberry___healthy
1991,2924,Strawberry___healthy
1992,2924,Strawberry___healthy
1992,2924,Strawberry___healthy
1995,2924,Strawberry___healthy
1995,2924,Strawberry___healthy
2000,1714,Strawberry___healthy
2000,1714,Strawberry___healthy
2001,1714,Strawberry___healthy
2001,1714,Strawberry___healthy
2002,1714,Strawberry___healthy
2002,1714,Strawberry___healthy
2004,1714,Strawberry___healthy
2004,1714,Strawberry___healthy
2007,5524,Strawberry___healthy
2007,5524,Strawberry___healthy
2011,5524,Strawberry___healthy
2011,5524,Strawberry___healthy
2013,5524,Strawberry___healthy
2013,5524,Strawberry___healthy
2016,5524,Strawberry___healthy
2016,5524,Strawberry___healthy
2018,757,Strawberry___healthy
2018,757,Strawberry___healthy
2020,757,Strawberry___healthy
2020,757,Strawberry___healthy
2024,757,Strawberry___healthy
2024,757,Strawberry___healthy
2025,757,Strawberry___healthy
2025,757,Strawberry___healthy
2026,757,Strawberry___healthy
2026,757,Strawberry___healthy
2031,2029,Strawberry___healthy
2031,2029,Strawberry___healthy
2032,2029,Strawberry___healthy
2032,2029,Strawberry___healthy
2035,2029,Strawberry___healthy
2035,2029,Strawberry___healthy
2038,5003,Strawberry___healthy
2038,5003,Strawberry___healthy
2039,5003,Strawberry___healthy
2039,5003,Strawberry___healthy
2046,5003,Strawberry___healthy
2046,5003,Strawberry___healthy
2047,939,Strawberry___healthy
2047,939,Strawberry___healthy
2048,939,Strawberry___healthy
2048,939,Strawberry___healthy
2050,939,Strawberry___healthy
2050,939,Strawberry___healthy
2054,939,Strawberry___healthy
2054,939,Strawberry___healthy
2056,665,Strawberry___healthy
2056,665,Strawberry___healthy
2058,665,Strawberry___healthy
2058,665,Strawberry___healthy
2062,665,Strawberry___healthy
2062,665,Strawberry___healthy
2064,665,Strawberry___healthy
2064,665,Strawberry___healthy
2066,5249,Strawberry___healthy
2066,5249,Strawberry___healthy
2068,5249,Strawberry___healthy
2068,5249,Strawberry___healthy
2071,5249,Strawberry___healthy
2071,5249,Strawberry___healthy
2076,5828,Strawberry___healthy
2076,5828,Strawberry___healthy
2077,5828,Strawberry___healthy
2077,5828,Strawberry___healthy
2081,5828,Strawberry___healthy
2081,5828,Strawberry___healthy
2083,366,Strawberry___healthy
2083,366,Strawberry___healthy
2086,366,Strawberry___healthy
2086,366,Strawberry___healthy
2090,366,Strawberry___healthy
