,leaf_ID,disease
3028,82,healthy
3028,82,healthy
3030,82,healthy
3030,82,healthy
3032,82,healthy
3032,82,healthy
3034,82,healthy
3034,82,healthy
3036,82,healthy
3036,82,healthy
3038,82,healthy
3038,82,healthy
3040,82,healthy
3040,82,healthy
3042,82,healthy
3042,82,healthy
3044,82,healthy
3044,82,healthy
3046,82,healthy
3046,82,healthy
3048,82,healthy
3048,82,healthy
3050,82,healthy
3050,82,healthy
3052,82,healthy
3052,82,healthy
3054,82,healthy
3054,82,healthy
3056,4371,healthy
3056,4371,healthy
3058,4371,healthy
3058,4371,healthy
3060,4371,healthy
3060,4371,healthy
3062,4371,healthy
3062,4371,healthy
3064,4371,healthy
3064,4371,healthy
3066,4371,healthy
3066,4371,healthy
3068,4371,healthy
3068,4371,healthy
3070,4371,healthy
3070,4371,healthy
3072,4371,healthy
3072,4371,healthy
3074,4371,healthy
3074,4371,healthy
3076,4371,healthy
3076,4371,healthy
3078,4371,healthy
3078,4371,healthy
3080,4371,healthy
3080,4371,healthy
3082,4371,healthy
3082,4371,healthy
3084,4371,healthy
3084,4371,healthy
3086,5064,healthy
3086,5064,healthy
3088,5064,healthy
3088,5064,healthy
3090,5064,healthy
3090,5064,healthy
3092,5064,healthy
3092,5064,healthy
3094,5064,healthy
3094,5064,healthy
3096,5064,healthy
3096,5064,healthy
3098,5064,healthy
3098,5064,healthy
3100,5064,healthy
3100,5064,healthy
3102,5064,healthy
3102,5064,healthy
3104,5064,healthy
3104,5064,healthy
3106,5064,healthy
3106,5064,healthy
3108,5064,healthy
3108,5064,healthy
3110,5064,healthy
3110,5064,healthy
3112,5798,healthy
3112,5798,healthy
3114,5798,healthy
3114,5798,healthy
3116,5798,healthy
3116,5798,healthy
3118,5798,healthy
3118,5798,healthy
3120,5798,healthy
3120,5798,healthy
3122,5798,healthy
3122,5798,healthy
3124,5798,healthy
3124,5798,healthy
3126,5798,healthy
3126,5798,healthy
3128,5798,healthy
3128,5798,healthy
3130,5798,healthy
3130,5798,healthy
3132,5798,healthy
3132,5798,healthy
3134,5798,healthy
3134,5798,healthy
3136,1165,healthy
3136,1165,healthy
3138,1165,healthy
3138,1165,healthy
3140,1165,healthy
3140,1165,healthy
3142,1165,healthy
3142,1165,healthy
3144,1165,healthy
3144,1165,healthy
3146,1165,healthy
3146,1165,healthy
3148,1165,healthy
3148,1165,healthy
3150,1165,healthy
3150,1165,healthy
3152,1165,healthy
3152,1165,healthy
3154,1165,healthy
3154,1165,healthy
3156,1165,healthy
3156,1165,healthy
3158,1165,healthy
3158,1165,healthy
3160,1165,healthy
3160,1165,healthy
3162,1165,healthy
3162,1165,healthy
3164,1165,healthy
3164,1165,healthy
3166,1165,healthy
3166,1165,healthy
3168,1165,healthy
3168,1165,healthy
3170,1165,healthy
3170,1165,healthy
3172,5807,healthy
3172,5807,healthy
3174,5807,healthy
3174,5807,healthy
3176,5807,healthy
3176,5807,healthy
3178,5807,healthy
3178,5807,healthy
3180,5807,healthy
3180,5807,healthy
3182,5807,healthy
3182,5807,healthy
3184,5807,healthy
3184,5807,healthy
3186,5807,healthy
3186,5807,healthy
3188,5807,healthy
3188,5807,healthy
3190,5807,healthy
3190,5807,healthy
3192,5807,healthy
3192,5807,healthy
3194,5807,healthy
3194,5807,healthy
3196,506,healthy
3196,506,healthy
3198,506,healthy
3198,506,healthy
3200,506,healthy
3200,506,healthy
3202,506,healthy
3202,506,healthy
3204,506,healthy
3204,506,healthy
3206,506,healthy
3206,506,healthy
3208,506,healthy
3208,506,healthy
3210,506,healthy
3210,506,healthy
3212,506,healthy
3212,506,healthy
3214,506,healthy
3214,506,healthy
3216,506,healthy
3216,506,healthy
3218,506,healthy
3218,506,healthy
3220,506,healthy
3220,506,healthy
3222,506,healthy
3222,506,healthy
3224,506,healthy
3224,506,healthy
3226,2625,healthy
3226,2625,healthy
3228,2625,healthy
3228,2625,healthy
3230,2625,healthy
3230,2625,healthy
3232,2625,healthy
3232,2625,healthy
3234,2625,healthy
3234,2625,healthy
3236,5237,healthy
3236,5237,healthy
3238,5237,healthy
3238,5237,healthy
3240,5237,healthy
3240,5237,healthy
3242,5237,healthy
3242,5237,healthy
3244,5237,healthy
3244,5237,healthy
3246,5237,healthy
3246,5237,healthy
