,leaf_ID,disease_binary
3028,82,1
3028,82,1
3030,82,1
3030,82,1
3032,82,1
3032,82,1
3034,82,1
3034,82,1
3036,82,1
3036,82,1
3038,82,1
3038,82,1
3040,82,1
3040,82,1
3042,82,1
3042,82,1
3044,82,1
3044,82,1
3046,82,1
3046,82,1
3048,82,1
3048,82,1
3050,82,1
3050,82,1
3052,82,1
3052,82,1
3054,82,1
3054,82,1
3056,4371,1
3056,4371,1
3058,4371,1
3058,4371,1
3060,4371,1
3060,4371,1
3062,4371,1
3062,4371,1
3064,4371,1
3064,4371,1
3066,4371,1
3066,4371,1
3068,4371,1
3068,4371,1
3070,4371,1
3070,4371,1
3072,4371,1
3072,4371,1
3074,4371,1
3074,4371,1
3076,4371,1
3076,4371,1
3078,4371,1
3078,4371,1
3080,4371,1
3080,4371,1
3082,4371,1
3082,4371,1
3084,4371,1
3084,4371,1
3086,5064,1
3086,5064,1
3088,5064,1
3088,5064,1
3090,5064,1
3090,5064,1
3092,5064,1
3092,5064,1
3094,5064,1
3094,5064,1
3096,5064,1
3096,5064,1
3098,5064,1
3098,5064,1
3100,5064,1
3100,5064,1
3102,5064,1
3102,5064,1
3104,5064,1
3104,5064,1
3106,5064,1
3106,5064,1
3108,5064,1
3108,5064,1
3110,5064,1
3110,5064,1
3112,5798,1
3112,5798,1
3114,5798,1
3114,5798,1
3116,5798,1
3116,5798,1
3118,5798,1
3118,5798,1
3120,5798,1
3120,5798,1
3122,5798,1
3122,5798,1
3124,5798,1
3124,5798,1
3126,5798,1
3126,5798,1
3128,5798,1
3128,5798,1
3130,5798,1
3130,5798,1
3132,5798,1
3132,5798,1
3134,5798,1
3134,5798,1
3136,1165,1
3136,1165,1
3138,1165,1
3138,1165,1
3140,1165,1
3140,1165,1
3142,1165,1
3142,1165,1
3144,1165,1
3144,1165,1
3146,1165,1
3146,1165,1
3148,1165,1
3148,1165,1
3150,1165,1
3150,1165,1
3152,1165,1
3152,1165,1
3154,1165,1
3154,1165,1
3156,1165,1
3156,1165,1
3158,1165,1
3158,1165,1
3160,1165,1
3160,1165,1
3162,1165,1
3162,1165,1
3164,1165,1
3164,1165,1
3166,1165,1
3166,1165,1
3168,1165,1
3168,1165,1
3170,1165,1
3170,1165,1
3172,5807,1
3172,5807,1
3174,5807,1
3174,5807,1
3176,5807,1
3176,5807,1
3178,5807,1
3178,5807,1
3180,5807,1
3180,5807,1
3182,5807,1
3182,5807,1
3184,5807,1
3184,5807,1
3186,5807,1
3186,5807,1
3188,5807,1
3188,5807,1
3190,5807,1
3190,5807,1
3192,5807,1
3192,5807,1
3194,5807,1
3194,5807,1
3196,506,1
3196,506,1
3198,506,1
3198,506,1
3200,506,1
3200,506,1
3202,506,1
3202,506,1
3204,506,1
3204,506,1
3206,506,1
3206,506,1
3208,506,1
3208,506,1
3210,506,1
3210,506,1
3212,506,1
3212,506,1
3214,506,1
3214,506,1
3216,506,1
3216,506,1
3218,506,1
3218,506,1
3220,506,1
3220,506,1
3222,506,1
3222,506,1
3224,506,1
3224,506,1
3226,2625,1
3226,2625,1
3228,2625,1
3228,2625,1
3230,2625,1
3230,2625,1
3232,2625,1
3232,2625,1
3234,2625,1
3234,2625,1
3236,5237,1
3236,5237,1
3238,5237,1
3238,5237,1
3240,5237,1
3240,5237,1
3242,5237,1
3242,5237,1
3244,5237,1
3244,5237,1
3246,5237,1
3246,5237,1
3248,5237,1
3248,5237,1
3250,5237,1
3250,5237,1
3252,5237,1
3252,5237,1
3254,5237,1
3254,5237,1
3256,4223,1
3256,4223,1
3258,4223,1
3258,4223,1
3260,4223,1
3260,4223,1
3262,4223,1
3262,4223,1
3264,4223,1
3264,4223,1
3266,4223,1
3266,4223,1
3267,4223,1
3267,4223,1
3269,4223,1
3269,4223,1
3271,4223,1
3271,4223,1
3273,4223,1
3273,4223,1
3275,4223,1
3275,4223,1
3277,4223,1
3277,4223,1
3279,4223,1
3279,4223,1
3281,4223,1
3281,4223,1
3283,4223,1
3283,4223,1
3285,4223,1
3285,4223,1
3287,4223,1
3287,4223,1
3289,4223,1
3289,4223,1
3291,459,1
3291,459,1
3293,459,1
3293,459,1
3295,459,1
3295,459,1
3297,459,1
3297,459,1
3299,459,1
3299,459,1
3301,459,1
3301,459,1
3303,459,1
3303,459,1
3305,459,1
3305,459,1
3307,459,1
3307,459,1
3309,459,1
3309,459,1
3311,459,1
3311,459,1
3313,459,1
3313,459,1
3315,459,1
3315,459,1
3317,459,1
3317,459,1
3319,459,1
3319,459,1
3321,3681,1
3321,3681,1
3323,3681,1
3323,3681,1
3325,3681,1
3325,3681,1
3327,3681,1
3327,3681,1
3329,3681,1
3329,3681,1
3331,3681,1
3331,3681,1
3333,3681,1
3333,3681,1
3335,3681,1
3335,3681,1
3337,3681,1
3337,3681,1
3339,3681,1
3339,3681,1
3341,3681,1
3341,3681,1
3343,3681,1
3343,3681,1
3345,3681,1
3345,3681,1
3347,3681,1
3347,3681,1
3349,3681,1
3349,3681,1
3351,4147,1
3351,4147,1
3352,4147,1
3352,4147,1
3353,4147,1
3353,4147,1
3355,4147,1
3355,4147,1
3357,4147,1
3357,4147,1
3359,4147,1
3359,4147,1
3360,4147,1
3360,4147,1
3361,4147,1
3361,4147,1
3362,4147,1
3362,4147,1
3363,4147,1
3363,4147,1
3364,4147,1
3364,4147,1
3365,4147,1
3365,4147,1
3366,4147,1
3366,4147,1
3367,4147,1
3367,4147,1
3368,4147,1
3368,4147,1
3369,3778,1
3369,3778,1
3370,3778,1
3370,3778,1
3371,3778,1
3371,3778,1
3372,3778,1
3372,3778,1
3373,3778,1
3373,3778,1
3374,3778,1
3374,3778,1
3375,3778,1
3375,3778,1
3376,3778,1
3376,3778,1
3377,3778,1
3377,3778,1
3378,3778,1
3378,3778,1
3379,3778,1
3379,3778,1
3380,3778,1
3380,3778,1
3381,3778,1
3381,3778,1
3382,3778,1
3382,3778,1
3383,3778,1
3383,3778,1
3384,1740,1
3384,1740,1
3385,1740,1
3385,1740,1
3386,1740,1
3386,1740,1
3387,1740,1
3387,1740,1
3388,1740,1
3388,1740,1
3389,1740,1
3389,1740,1
3390,1740,1
3390,1740,1
3391,1740,1
3391,1740,1
3392,1740,1
3392,1740,1
3393,1740,1
3393,1740,1
3394,1740,1
3394,1740,1
3395,1740,1
3395,1740,1
3396,1740,1
3396,1740,1
3397,1740,1
3397,1740,1
3398,1740,1
3398,1740,1
3399,1740,1
3399,1740,1
3400,3778,1
3400,3778,1
3401,3778,1
3401,3778,1
3402,3778,1
3402,3778,1
3403,3778,1
3403,3778,1
3404,3778,1
3404,3778,1
3405,3778,1
3405,3778,1
3406,3778,1
3406,3778,1
3407,3778,1
3407,3778,1
3408,3778,1
3408,3778,1
3409,3778,1
3409,3778,1
3410,3778,1
3410,3778,1
3411,3778,1
3411,3778,1
3412,3778,1
3412,3778,1
3413,3778,1
3413,3778,1
3414,3778,1
3414,3778,1
3415,3778,1
3415,3778,1
3416,3778,1
3416,3778,1
3417,3778,1
3417,3778,1
3418,1740,1
3418,1740,1
3419,1740,1
3419,1740,1
3420,1740,1
3420,1740,1
3421,1740,1
3421,1740,1
3422,1740,1
3422,1740,1
3423,1740,1
3423,1740,1
3424,1740,1
3424,1740,1
3425,1740,1
3425,1740,1
3426,1740,1
3426,1740,1
3427,1740,1
3427,1740,1
3428,1740,1
3428,1740,1
3429,1740,1
3429,1740,1
3430,4922,1
3430,4922,1
3431,4922,1
3431,4922,1
3432,4922,1
3432,4922,1
3433,4922,1
3433,4922,1
3434,4922,1
3434,4922,1
3435,4922,1
3435,4922,1
3436,4922,1
3436,4922,1
3437,4922,1
3437,4922,1
3438,4922,1
3438,4922,1
3439,4922,1
3439,4922,1
3440,4922,1
3440,4922,1
3441,4922,1
3441,4922,1
3442,820,1
3442,820,1
3443,820,1
3443,820,1
3444,820,1
3444,820,1
3445,820,1
3445,820,1
3446,820,1
3446,820,1
3447,820,1
3447,820,1
3448,820,1
3448,820,1
3449,820,1
3449,820,1
3450,820,1
3450,820,1
3451,820,1
3451,820,1
3452,820,1
3452,820,1
3453,820,1
3453,820,1
3454,3242,1
3454,3242,1
3455,3242,1
3455,3242,1
3456,3242,1
3456,3242,1
3457,3242,1
3457,3242,1
3458,3242,1
3458,3242,1
3459,3242,1
3459,3242,1
3460,3242,1
3460,3242,1
3461,3242,1
3461,3242,1
3462,3242,1
3462,3242,1
3463,3242,1
3463,3242,1
3464,3242,1
3464,3242,1
3465,3242,1
3465,3242,1
3466,3242,1
3466,3242,1
3467,3242,1
3467,3242,1
3468,3242,1
3468,3242,1
3469,4748,1
3469,4748,1
3470,4748,1
3470,4748,1
3471,4748,1
3471,4748,1
3472,4748,1
3472,4748,1
3473,4748,1
3473,4748,1
3474,4748,1
3474,4748,1
3475,4748,1
3475,4748,1
3476,4748,1
3476,4748,1
3477,4748,1
3477,4748,1
3478,4748,1
3478,4748,1
3479,4748,1
3479,4748,1
3480,4748,1
3480,4748,1
3481,5613,1
3481,5613,1
