,leaf_ID,disease
36758,280,healthy
36759,280,healthy
36760,280,healthy
36761,280,healthy
36762,280,healthy
36763,280,healthy
36764,280,healthy
36765,270,healthy
36766,270,healthy
36767,270,healthy
36768,270,healthy
36769,270,healthy
36770,270,healthy
36771,270,healthy
36772,270,healthy
36773,270,healthy
36774,270,healthy
36775,3781,healthy
36776,3781,healthy
36777,3781,healthy
36778,3781,healthy
36779,3781,healthy
36780,3781,healthy
36781,3781,healthy
36782,3781,healthy
36783,3781,healthy
36784,1246,healthy
36785,1246,healthy
36786,1246,healthy
36787,1246,healthy
36788,1246,healthy
36789,1246,healthy
36790,1246,healthy
36791,87,healthy
36792,87,healthy
36793,87,healthy
36794,87,healthy
36795,87,healthy
36796,87,healthy
36797,87,healthy
36798,87,healthy
36799,87,healthy
36800,87,healthy
36801,4373,healthy
36802,4373,healthy
36803,4373,healthy
36804,4373,healthy
36805,4373,healthy
36806,4373,healthy
36807,4373,healthy
36808,4373,healthy
36809,4373,healthy
36810,4373,healthy
36811,4538,healthy
36812,4538,healthy
36813,4538,healthy
36814,4538,healthy
36815,4538,healthy
36816,4538,healthy
36817,4538,healthy
36818,4538,healthy
36819,4538,healthy
36820,4538,healthy
36821,4538,healthy
36822,4193,healthy
36823,4193,healthy
36824,4193,healthy
36825,4193,healthy
36826,4193,healthy
36827,4193,healthy
36828,4193,healthy
36829,4193,healthy
36830,4193,healthy
36831,4193,healthy
36832,4193,healthy
36833,4193,healthy
36834,4245,healthy
36835,4245,healthy
36836,4245,healthy
36837,4245,healthy
36838,4245,healthy
36839,4245,healthy
36840,4245,healthy
36841,4245,healthy
36842,4245,healthy
36843,4245,healthy
36844,4245,healthy
36845,4245,healthy
36846,4245,healthy
36847,4617,healthy
36848,4617,healthy
36849,4617,healthy
36850,4617,healthy
36851,4617,healthy
36852,4617,healthy
36853,4617,healthy
36854,4617,healthy
36855,337,healthy
36856,337,healthy
36857,337,healthy
36858,337,healthy
36859,337,healthy
36860,337,healthy
36861,337,healthy
36862,337,healthy
36863,337,healthy
36864,337,healthy
36865,337,healthy
36866,1798,healthy
36867,1798,healthy
36868,1798,healthy
36869,1798,healthy
36870,1798,healthy
36871,1798,healthy
36872,1798,healthy
36873,1798,healthy
36874,1798,healthy
36875,3205,healthy
36876,3205,healthy
36877,3205,healthy
36878,3205,healthy
36879,3205,healthy
36880,3205,healthy
36881,3205,healthy
36882,3205,healthy
36883,3205,healthy
36884,433,healthy
36885,433,healthy
36886,433,healthy
36887,433,healthy
36888,433,healthy
36889,433,healthy
36890,433,healthy
36891,433,healthy
36892,433,healthy
36893,2658,healthy
36894,2658,healthy
36895,2658,healthy
36896,2658,healthy
36897,2658,healthy
36898,2658,healthy
36899,4895,healthy
36900,3905,healthy
36901,3905,healthy
36902,3905,healthy
36903,3905,healthy
36904,3905,healthy
36905,3905,healthy
36906,3905,healthy
36907,3905,healthy
36908,5427,healthy
36909,5427,healthy
36910,5427,healthy
36911,5427,healthy
36912,5427,healthy
36913,5427,healthy
36914,5427,healthy
36915,5427,healthy
36916,5427,healthy
36917,112,healthy
36918,112,healthy
36919,112,healthy
36920,112,healthy
36921,112,healthy
36922,112,healthy
36923,112,healthy
36924,112,healthy
36925,3984,healthy
36926,3984,healthy
36927,3984,healthy
36928,3984,healthy
36929,3984,healthy
36930,3984,healthy
36931,3984,healthy
36932,3984,healthy
36933,3984,healthy
36934,3984,healthy
36935,4895,healthy
36936,3594,healthy
36937,3594,healthy
36938,3594,healthy
36939,3594,healthy
36940,3594,healthy
36941,3594,healthy
36942,3594,healthy
36943,3594,healthy
36944,3594,healthy
36945,3594,healthy
36946,29,healthy
36947,29,healthy
36948,29,healthy
36949,29,healthy
36950,29,healthy
