,leaf_ID,disease
6495,5666,Esca_(Black_Measles)
6496,5666,Esca_(Black_Measles)
6497,5666,Esca_(Black_Measles)
6498,5666,Esca_(Black_Measles)
6499,5653,Esca_(Black_Measles)
6500,5653,Esca_(Black_Measles)
6501,5653,Esca_(Black_Measles)
6502,5653,Esca_(Black_Measles)
6503,3217,Esca_(Black_Measles)
6504,3217,Esca_(Black_Measles)
6505,3217,Esca_(Black_Measles)
6506,3217,Esca_(Black_Measles)
6507,596,Esca_(Black_Measles)
6508,596,Esca_(Black_Measles)
6509,596,Esca_(Black_Measles)
6510,596,Esca_(Black_Measles)
6511,4329,Esca_(Black_Measles)
6512,4329,Esca_(Black_Measles)
6513,4329,Esca_(Black_Measles)
6514,4329,Esca_(Black_Measles)
6515,3369,Esca_(Black_Measles)
6516,3369,Esca_(Black_Measles)
6517,3369,Esca_(Black_Measles)
6518,3369,Esca_(Black_Measles)
6519,172,Esca_(Black_Measles)
6520,172,Esca_(Black_Measles)
6521,172,Esca_(Black_Measles)
6522,172,Esca_(Black_Measles)
6523,5743,Esca_(Black_Measles)
6524,5743,Esca_(Black_Measles)
6525,5743,Esca_(Black_Measles)
6526,5743,Esca_(Black_Measles)
6527,5809,Esca_(Black_Measles)
6528,5809,Esca_(Black_Measles)
6529,5809,Esca_(Black_Measles)
6530,5809,Esca_(Black_Measles)
6531,1301,Esca_(Black_Measles)
6532,1301,Esca_(Black_Measles)
6533,1301,Esca_(Black_Measles)
6534,1301,Esca_(Black_Measles)
6535,2009,Esca_(Black_Measles)
6536,2009,Esca_(Black_Measles)
6537,2009,Esca_(Black_Measles)
6538,2009,Esca_(Black_Measles)
6539,3840,Esca_(Black_Measles)
6540,3840,Esca_(Black_Measles)
6541,3840,Esca_(Black_Measles)
6542,3840,Esca_(Black_Measles)
6543,2193,Esca_(Black_Measles)
6544,2193,Esca_(Black_Measles)
6545,2193,Esca_(Black_Measles)
6546,2193,Esca_(Black_Measles)
6547,2107,Esca_(Black_Measles)
6548,2107,Esca_(Black_Measles)
6549,2107,Esca_(Black_Measles)
6550,2107,Esca_(Black_Measles)
