,leaf_ID,disease
7879,615,healthy
7880,615,healthy
7881,615,healthy
7882,615,healthy
7883,615,healthy
7884,615,healthy
7885,605,healthy
7886,605,healthy
7887,605,healthy
7888,605,healthy
7889,605,healthy
7890,605,healthy
7891,605,healthy
7892,605,healthy
7893,714,healthy
7894,714,healthy
7895,714,healthy
7896,714,healthy
7897,714,healthy
7898,714,healthy
7899,714,healthy
7900,714,healthy
7901,4381,healthy
7902,4381,healthy
7903,4381,healthy
7904,4381,healthy
7905,4381,healthy
7906,4381,healthy
7907,4381,healthy
7908,4381,healthy
7909,3129,healthy
7910,3129,healthy
7911,3129,healthy
7912,3129,healthy
7913,3129,healthy
7914,3129,healthy
7915,3129,healthy
7916,4882,healthy
7917,4882,healthy
7918,4882,healthy
7919,4882,healthy
7920,4882,healthy
7921,4882,healthy
7922,4882,healthy
7923,4882,healthy
7924,4882,healthy
7925,1157,healthy
7926,1157,healthy
7927,1157,healthy
7928,1157,healthy
7929,1157,healthy
7930,1157,healthy
7931,1157,healthy
7932,1157,healthy
7933,3414,healthy
7934,3414,healthy
7935,3414,healthy
7936,3414,healthy
7937,3414,healthy
7938,3414,healthy
7939,3414,healthy
7940,3414,healthy
7941,3414,healthy
7942,761,healthy
7943,761,healthy
7944,761,healthy
7945,761,healthy
7946,761,healthy
7947,761,healthy
7948,761,healthy
7949,761,healthy
7950,4982,healthy
7951,4982,healthy
7952,4982,healthy
7953,4982,healthy
7954,4982,healthy
7955,4982,healthy
7956,4982,healthy
7957,4982,healthy
7958,3117,healthy
7959,3117,healthy
7960,3117,healthy
7961,3117,healthy
7962,3117,healthy
7963,3117,healthy
7964,3117,healthy
7965,3117,healthy
7966,3117,healthy
7967,4915,healthy
7968,4915,healthy
7969,4915,healthy
7970,4915,healthy
7971,4915,healthy
7972,4915,healthy
7973,4915,healthy
7974,4915,healthy
7975,4915,healthy
7976,2411,healthy
7977,2411,healthy
7978,2411,healthy
7979,2411,healthy
7980,2411,healthy
7981,2411,healthy
7982,2411,healthy
7983,2411,healthy
7984,5739,healthy
7985,5739,healthy
7986,5739,healthy
7987,5739,healthy
7988,5739,healthy
7989,5739,healthy
7990,5739,healthy
7991,5739,healthy
7992,5311,healthy
7993,5311,healthy
7994,5311,healthy
7995,5311,healthy
7996,5311,healthy
7997,5311,healthy
7998,5311,healthy
7999,4270,healthy
8000,4270,healthy
8001,4270,healthy
8002,4270,healthy
8003,4270,healthy
8004,4270,healthy
8005,4270,healthy
8006,4270,healthy
8007,2082,healthy
8008,2082,healthy
8009,2082,healthy
8010,2082,healthy
8011,2082,healthy
8012,2082,healthy
8013,2082,healthy
8014,5416,healthy
8015,5416,healthy
8016,5416,healthy
8017,5416,healthy
8018,5416,healthy
8019,5416,healthy
8020,5416,healthy
8021,5416,healthy
8022,5416,healthy
8023,910,healthy
8024,910,healthy
8025,910,healthy
8026,910,healthy
8027,910,healthy
8028,910,healthy
8029,910,healthy
8030,158,healthy
8031,158,healthy
8032,158,healthy
8033,158,healthy
8034,158,healthy
8035,158,healthy
8036,158,healthy
8037,5328,healthy
8038,5328,healthy
8039,5328,healthy
8040,5328,healthy
8041,5328,healthy
8042,5328,healthy
8043,5328,healthy
8044,5328,healthy
8045,5328,healthy
8046,1716,healthy
8047,1716,healthy
8048,1716,healthy
8049,1716,healthy
8050,1716,healthy
8051,1716,healthy
8052,1716,healthy
8053,1716,healthy
8054,1716,healthy
8055,6028,healthy
8056,6028,healthy
8057,6028,healthy
8058,6028,healthy
8059,6028,healthy
8060,6028,healthy
8061,6028,healthy
8062,2255,healthy
8063,2255,healthy
8064,2255,healthy
8065,2255,healthy
8066,2255,healthy
8067,2255,healthy
8068,2255,healthy
8069,2255,healthy
8070,1008,healthy
8071,1008,healthy
8072,1008,healthy
8073,1008,healthy
8074,1008,healthy
8075,1008,healthy
8076,1008,healthy
8077,1008,healthy
8078,320,healthy
8079,320,healthy
8080,320,healthy
8081,320,healthy
8082,320,healthy
8083,320,healthy
8084,320,healthy
8085,320,healthy
8086,4570,healthy
8087,4570,healthy
8088,4570,healthy
8089,4570,healthy
8090,4570,healthy
8091,5272,healthy
8092,5272,healthy
8093,5272,healthy
8094,5272,healthy
8095,5272,healthy
8096,5272,healthy
8097,5272,healthy
8098,2754,healthy
8099,2754,healthy
8100,2754,healthy
8101,2754,healthy
8102,2754,healthy
8103,2754,healthy
8104,2754,healthy
8105,2754,healthy
8106,2754,healthy
8107,934,healthy
8108,934,healthy
8109,934,healthy
8110,934,healthy
8111,934,healthy
8112,934,healthy
8113,934,healthy
8114,934,healthy
