,leaf_ID,disease_binary
7879,615,1
7880,615,1
7881,615,1
7882,615,1
7883,615,1
7884,615,1
7885,605,1
7886,605,1
7887,605,1
7888,605,1
7889,605,1
7890,605,1
7891,605,1
7892,605,1
7893,714,1
7894,714,1
7895,714,1
7896,714,1
7897,714,1
7898,714,1
7899,714,1
7900,714,1
7901,4381,1
7902,4381,1
7903,4381,1
7904,4381,1
7905,4381,1
7906,4381,1
7907,4381,1
7908,4381,1
7909,3129,1
7910,3129,1
7911,3129,1
7912,3129,1
7913,3129,1
7914,3129,1
7915,3129,1
7916,4882,1
7917,4882,1
7918,4882,1
7919,4882,1
7920,4882,1
7921,4882,1
7922,4882,1
7923,4882,1
7924,4882,1
7925,1157,1
7926,1157,1
7927,1157,1
7928,1157,1
7929,1157,1
7930,1157,1
7931,1157,1
7932,1157,1
7933,3414,1
7934,3414,1
7935,3414,1
7936,3414,1
7937,3414,1
7938,3414,1
7939,3414,1
7940,3414,1
7941,3414,1
7942,761,1
7943,761,1
7944,761,1
7945,761,1
7946,761,1
7947,761,1
7948,761,1
7949,761,1
7950,4982,1
7951,4982,1
7952,4982,1
7953,4982,1
7954,4982,1
7955,4982,1
7956,4982,1
7957,4982,1
7958,3117,1
7959,3117,1
7960,3117,1
7961,3117,1
7962,3117,1
7963,3117,1
7964,3117,1
7965,3117,1
7966,3117,1
7967,4915,1
7968,4915,1
7969,4915,1
7970,4915,1
7971,4915,1
7972,4915,1
7973,4915,1
7974,4915,1
7975,4915,1
7976,2411,1
7977,2411,1
7978,2411,1
7979,2411,1
7980,2411,1
7981,2411,1
7982,2411,1
7983,2411,1
7984,5739,1
7985,5739,1
7986,5739,1
7987,5739,1
7988,5739,1
7989,5739,1
7990,5739,1
7991,5739,1
7992,5311,1
7993,5311,1
7994,5311,1
7995,5311,1
7996,5311,1
7997,5311,1
7998,5311,1
7999,4270,1
8000,4270,1
8001,4270,1
8002,4270,1
8003,4270,1
8004,4270,1
8005,4270,1
8006,4270,1
8007,2082,1
8008,2082,1
8009,2082,1
8010,2082,1
8011,2082,1
8012,2082,1
8013,2082,1
8014,5416,1
8015,5416,1
8016,5416,1
8017,5416,1
8018,5416,1
8019,5416,1
8020,5416,1
8021,5416,1
8022,5416,1
8023,910,1
8024,910,1
8025,910,1
8026,910,1
8027,910,1
8028,910,1
8029,910,1
8030,158,1
8031,158,1
8032,158,1
8033,158,1
8034,158,1
8035,158,1
8036,158,1
8037,5328,1
8038,5328,1
8039,5328,1
8040,5328,1
8041,5328,1
8042,5328,1
8043,5328,1
8044,5328,1
8045,5328,1
8046,1716,1
8047,1716,1
8048,1716,1
8049,1716,1
8050,1716,1
8051,1716,1
8052,1716,1
8053,1716,1
8054,1716,1
8055,6028,1
8056,6028,1
8057,6028,1
8058,6028,1
8059,6028,1
8060,6028,1
8061,6028,1
8062,2255,1
8063,2255,1
8064,2255,1
8065,2255,1
8066,2255,1
8067,2255,1
8068,2255,1
8069,2255,1
8070,1008,1
8071,1008,1
8072,1008,1
8073,1008,1
8074,1008,1
8075,1008,1
8076,1008,1
8077,1008,1
8078,320,1
8079,320,1
8080,320,1
8081,320,1
8082,320,1
8083,320,1
8084,320,1
8085,320,1
8086,4570,1
8087,4570,1
8088,4570,1
8089,4570,1
8090,4570,1
8091,5272,1
8092,5272,1
8093,5272,1
8094,5272,1
8095,5272,1
8096,5272,1
8097,5272,1
8098,2754,1
8099,2754,1
8100,2754,1
8101,2754,1
8102,2754,1
8103,2754,1
8104,2754,1
8105,2754,1
8106,2754,1
8107,934,1
8108,934,1
8109,934,1
8110,934,1
8111,934,1
8112,934,1
8113,934,1
8114,934,1
8115,934,1
8116,934,1
8117,934,1
8118,934,1
8119,601,1
8120,601,1
8121,601,1
8122,601,1
8123,601,1
8124,601,1
8125,601,1
8126,858,1
8127,858,1
8128,858,1
8129,858,1
8130,858,1
8131,858,1
8132,858,1
8133,858,1
8134,3374,1
8135,3374,1
8136,3374,1
8137,3374,1
8138,3374,1
8139,3374,1
8140,3374,1
8141,3374,1
8142,260,1
8143,260,1
8144,260,1
8145,260,1
8146,260,1
8147,260,1
8148,260,1
8149,4267,1
8150,4267,1
8151,4267,1
8152,4267,1
8153,4267,1
8154,4267,1
8155,4267,1
8156,4267,1
8157,4267,1
8158,4007,1
8159,4007,1
8160,4007,1
8161,4007,1
8162,1075,1
8163,1075,1
8164,1075,1
8165,1075,1
8166,4346,1
8167,4346,1
8168,4346,1
8169,4346,1
8170,4346,1
8171,4346,1
8172,4346,1
8173,4346,1
8174,4346,1
8175,4346,1
8176,4346,1
8177,3038,1
8178,3038,1
8179,3038,1
8180,3038,1
8181,3038,1
8182,3038,1
8183,3038,1
8184,3038,1
8185,3894,1
8186,3894,1
8187,3894,1
8188,3894,1
8189,3894,1
8190,3894,1
8191,3728,1
8192,3728,1
8193,3728,1
8194,3728,1
8195,3728,1
8196,3728,1
8197,3728,1
8198,3728,1
8199,5295,1
8200,5295,1
8201,5295,1
8202,5295,1
8203,5295,1
8204,5295,1
8205,5295,1
8206,4881,1
8207,4881,1
8208,4881,1
8209,4881,1
8210,4881,1
8211,2743,1
8212,2743,1
8213,2743,1
8214,2743,1
8215,2743,1
8216,2743,1
8217,2743,1
8218,413,1
8219,413,1
8220,413,1
8221,413,1
