,leaf_ID,disease
1441,2004,healthy
1441,2004,healthy
1442,2004,healthy
1442,2004,healthy
1445,4326,healthy
1445,4326,healthy
1446,4326,healthy
1446,4326,healthy
1447,4326,healthy
1447,4326,healthy
1449,4326,healthy
1449,4326,healthy
1450,4326,healthy
1450,4326,healthy
1452,4625,healthy
1452,4625,healthy
1458,4534,healthy
1458,4534,healthy
1459,4534,healthy
1459,4534,healthy
1460,4534,healthy
1460,4534,healthy
1462,4534,healthy
1462,4534,healthy
1477,1263,healthy
1477,1263,healthy
1479,1263,healthy
1479,1263,healthy
1480,1263,healthy
1480,1263,healthy
1481,1263,healthy
1481,1263,healthy
2639,3101,healthy
2639,3101,healthy
2639,3101,healthy
2640,3101,healthy
2640,3101,healthy
2640,3101,healthy
2643,3101,healthy
2643,3101,healthy
2643,3101,healthy
2646,5314,healthy
2646,5314,healthy
2646,5314,healthy
2668,5661,healthy
2668,5661,healthy
2668,5661,healthy
2669,5661,healthy
2669,5661,healthy
2669,5661,healthy
2670,5661,healthy
2670,5661,healthy
2670,5661,healthy
2671,5661,healthy
2671,5661,healthy
2671,5661,healthy
2675,5855,healthy
2675,5855,healthy
2675,5855,healthy
2676,5855,healthy
2676,5855,healthy
2676,5855,healthy
2678,5855,healthy
2678,5855,healthy
2678,5855,healthy
2679,5855,healthy
2679,5855,healthy
2679,5855,healthy
2680,684,healthy
2680,684,healthy
2680,684,healthy
2682,684,healthy
2682,684,healthy
2682,684,healthy
2684,684,healthy
2684,684,healthy
2684,684,healthy
2685,684,healthy
2685,684,healthy
2685,684,healthy
2687,684,healthy
2687,684,healthy
2687,684,healthy
2688,1729,healthy
2688,1729,healthy
2688,1729,healthy
2689,1729,healthy
2689,1729,healthy
2689,1729,healthy
2690,1729,healthy
2690,1729,healthy
2690,1729,healthy
13783,4247,healthy
13783,4247,healthy
13783,4247,healthy
13784,4247,healthy
13784,4247,healthy
13784,4247,healthy
13787,4247,healthy
13787,4247,healthy
13787,4247,healthy
13790,4247,healthy
13790,4247,healthy
13790,4247,healthy
13812,1450,healthy
13812,1450,healthy
13812,1450,healthy
13813,1450,healthy
13813,1450,healthy
13813,1450,healthy
13814,1450,healthy
13814,1450,healthy
13814,1450,healthy
13815,1450,healthy
13815,1450,healthy
13815,1450,healthy
13819,1450,healthy
13819,1450,healthy
13819,1450,healthy
13820,1450,healthy
13820,1450,healthy
13820,1450,healthy
13822,1450,healthy
13822,1450,healthy
13822,1450,healthy
13823,2263,healthy
13823,2263,healthy
13823,2263,healthy
13824,2263,healthy
13824,2263,healthy
13824,2263,healthy
13826,2263,healthy
13826,2263,healthy
13826,2263,healthy
13828,2263,healthy
13828,2263,healthy
13828,2263,healthy
13829,2263,healthy
13829,2263,healthy
13829,2263,healthy
13831,2263,healthy
13831,2263,healthy
13831,2263,healthy
13832,2263,healthy
13832,2263,healthy
13832,2263,healthy
13833,2263,healthy
13833,2263,healthy
13833,2263,healthy
13834,2263,healthy
13834,2263,healthy
13834,2263,healthy
13931,1401,healthy
13932,1401,healthy
13932,1401,healthy
13933,1401,healthy
13934,1401,healthy
13935,1388,healthy
13935,1388,healthy
13936,1388,healthy
13936,1388,healthy
13937,1388,healthy
13938,1388,healthy
13939,1503,healthy
13940,1503,healthy
13940,1503,healthy
13941,1503,healthy
13942,1503,healthy
13942,1503,healthy
13943,5188,healthy
13944,5188,healthy
13944,5188,healthy
13945,5188,healthy
13945,5188,healthy
13946,5188,healthy
13946,5188,healthy
13947,3956,healthy
13948,3956,healthy
13948,3956,healthy
13949,3956,healthy
13950,3956,healthy
13950,3956,healthy
13951,5699,healthy
13952,5699,healthy
13953,5699,healthy
13954,5699,healthy
13955,1998,healthy
13955,1998,healthy
13956,1998,healthy
13957,1998,healthy
13958,1998,healthy
13958,1998,healthy
13959,5386,healthy
13959,5386,healthy
13960,5386,healthy
13961,5386,healthy
13961,5386,healthy
13962,5386,healthy
13963,5442,healthy
13964,5442,healthy
13965,5442,healthy
13965,5442,healthy
13966,5442,healthy
13967,5794,healthy
13968,5794,healthy
13969,5794,healthy
13969,5794,healthy
13970,5794,healthy
13970,5794,healthy
13971,3940,healthy
13972,3940,healthy
13973,3940,healthy
13974,3940,healthy
13975,5725,healthy
13975,5725,healthy
13976,5725,healthy
13976,5725,healthy
13977,5725,healthy
13977,5725,healthy
13978,5725,healthy
13978,5725,healthy
13979,4411,healthy
13980,4411,healthy
13980,4411,healthy
13981,4411,healthy
13982,4411,healthy
13983,4039,healthy
13984,4039,healthy
13984,4039,healthy
13985,4039,healthy
13985,4039,healthy
13986,4039,healthy
13987,3582,healthy
13987,3582,healthy
13988,3582,healthy
13988,3582,healthy
13989,3582,healthy
13990,3582,healthy
13990,3582,healthy
13991,5096,healthy
13991,5096,healthy
13992,5096,healthy
13993,5096,healthy
13994,5096,healthy
13995,2931,healthy
13996,2931,healthy
13996,2931,healthy
13997,2931,healthy
13998,2931,healthy
13998,2931,healthy
13999,1216,healthy
14000,1216,healthy
14001,1216,healthy
14002,1216,healthy
14003,5319,healthy
14004,5319,healthy
14004,5319,healthy
14005,5319,healthy
14006,5319,healthy
14007,4807,healthy
14008,4807,healthy
14008,4807,healthy
14009,4807,healthy
14009,4807,healthy
14010,4807,healthy
14011,3605,healthy
14012,3605,healthy
14013,3605,healthy
14014,3605,healthy
14015,75,healthy
14016,75,healthy
14017,75,healthy
14017,75,healthy
14018,75,healthy
14019,4608,healthy
14020,4608,healthy
14020,4608,healthy
14021,4608,healthy
14022,4608,healthy
14022,4608,healthy
14023,559,healthy
14023,559,healthy
14024,559,healthy
14025,559,healthy
14026,559,healthy
14026,559,healthy
14027,5695,healthy
14028,5695,healthy
14029,5695,healthy
14030,5695,healthy
14031,1074,healthy
14032,1074,healthy
14032,1074,healthy
14033,1074,healthy
14033,1074,healthy
14034,1074,healthy
14034,1074,healthy
14035,5390,healthy
14036,5390,healthy
14037,5390,healthy
14038,5390,healthy
14039,22,healthy
14040,22,healthy
14041,22,healthy
14042,22,healthy
14043,1015,healthy
14043,1015,healthy
14044,1015,healthy
14045,1015,healthy
14045,1015,healthy
14046,1015,healthy
14047,5335,healthy
14047,5335,healthy
14048,5335,healthy
14048,5335,healthy
14049,5335,healthy
14049,5335,healthy
14050,5335,healthy
14050,5335,healthy
14051,1380,healthy
14051,1380,healthy
14052,1380,healthy
14052,1380,healthy
14053,1380,healthy
14053,1380,healthy
14054,1380,healthy
14054,1380,healthy
14055,1652,healthy
14055,1652,healthy
14056,1652,healthy
14056,1652,healthy
14057,1652,healthy
14057,1652,healthy
14058,1652,healthy
14058,1652,healthy
14059,1903,healthy
14059,1903,healthy
14060,1903,healthy
14060,1903,healthy
14061,1903,healthy
14061,1903,healthy
14062,1903,healthy
14062,1903,healthy
14063,4904,healthy
14063,4904,healthy
14063,4904,healthy
14064,4904,healthy
14064,4904,healthy
14064,4904,healthy
14065,4904,healthy
14065,4904,healthy
14065,4904,healthy
14066,4904,healthy
14066,4904,healthy
14066,4904,healthy
14067,2814,healthy
14067,2814,healthy
14067,2814,healthy
14068,2814,healthy
14068,2814,healthy
14068,2814,healthy
14069,2814,healthy
14069,2814,healthy
14069,2814,healthy
