,leaf_ID,disease_binary
1441,2004,1
1441,2004,1
1442,2004,1
1442,2004,1
1445,4326,1
1445,4326,1
1446,4326,1
1446,4326,1
1447,4326,1
1447,4326,1
1449,4326,1
1449,4326,1
1450,4326,1
1450,4326,1
1452,4625,1
1452,4625,1
1458,4534,1
1458,4534,1
1459,4534,1
1459,4534,1
1460,4534,1
1460,4534,1
1462,4534,1
1462,4534,1
1477,1263,1
1477,1263,1
1479,1263,1
1479,1263,1
1480,1263,1
1480,1263,1
1481,1263,1
1481,1263,1
2639,3101,1
2639,3101,1
2639,3101,1
2640,3101,1
2640,3101,1
2640,3101,1
2643,3101,1
2643,3101,1
2643,3101,1
2646,5314,1
2646,5314,1
2646,5314,1
2668,5661,1
2668,5661,1
2668,5661,1
2669,5661,1
2669,5661,1
2669,5661,1
2670,5661,1
2670,5661,1
2670,5661,1
2671,5661,1
2671,5661,1
2671,5661,1
2675,5855,1
2675,5855,1
2675,5855,1
2676,5855,1
2676,5855,1
2676,5855,1
2678,5855,1
2678,5855,1
2678,5855,1
2679,5855,1
2679,5855,1
2679,5855,1
2680,684,1
2680,684,1
2680,684,1
2682,684,1
2682,684,1
2682,684,1
2684,684,1
2684,684,1
2684,684,1
2685,684,1
2685,684,1
2685,684,1
2687,684,1
2687,684,1
2687,684,1
2688,1729,1
2688,1729,1
2688,1729,1
2689,1729,1
2689,1729,1
2689,1729,1
2690,1729,1
2690,1729,1
2690,1729,1
13783,4247,1
13783,4247,1
13783,4247,1
13784,4247,1
13784,4247,1
13784,4247,1
13787,4247,1
13787,4247,1
13787,4247,1
13790,4247,1
13790,4247,1
13790,4247,1
13812,1450,1
13812,1450,1
13812,1450,1
13813,1450,1
13813,1450,1
13813,1450,1
13814,1450,1
13814,1450,1
13814,1450,1
13815,1450,1
13815,1450,1
13815,1450,1
13819,1450,1
13819,1450,1
13819,1450,1
13820,1450,1
13820,1450,1
13820,1450,1
13822,1450,1
13822,1450,1
13822,1450,1
13823,2263,1
13823,2263,1
13823,2263,1
13824,2263,1
13824,2263,1
13824,2263,1
13826,2263,1
13826,2263,1
13826,2263,1
13828,2263,1
13828,2263,1
13828,2263,1
13829,2263,1
13829,2263,1
13829,2263,1
13831,2263,1
13831,2263,1
13831,2263,1
13832,2263,1
13832,2263,1
13832,2263,1
13833,2263,1
13833,2263,1
13833,2263,1
