,leaf_ID,disease_binary
1607,3463,1
1607,3463,1
1610,3463,1
1610,3463,1
1613,3463,1
1613,3463,1
1616,3534,1
1616,3534,1
1620,3534,1
1620,3534,1
1621,3534,1
1621,3534,1
1623,3534,1
1623,3534,1
1624,1649,1
1624,1649,1
1628,1649,1
1628,1649,1
1630,1649,1
1630,1649,1
1631,1649,1
1631,1649,1
1636,4253,1
1636,4253,1
1638,4253,1
1638,4253,1
1641,4253,1
1641,4253,1
1642,4253,1
1642,4253,1
1646,2511,1
1646,2511,1
1647,2511,1
1647,2511,1
1648,2511,1
1648,2511,1
1651,2511,1
1651,2511,1
1655,3359,1
1655,3359,1
1657,3359,1
1657,3359,1
1658,3359,1
1658,3359,1
1661,1370,1
1661,1370,1
1664,1370,1
1664,1370,1
1670,146,1
1670,146,1
1672,146,1
1672,146,1
1674,146,1
1674,146,1
1675,146,1
1675,146,1
1678,382,1
1678,382,1
1681,382,1
1681,382,1
1684,1202,1
1684,1202,1
1685,1202,1
1685,1202,1
1687,1202,1
1687,1202,1
1689,1202,1
1689,1202,1
1690,1202,1
1690,1202,1
1693,2547,1
1693,2547,1
1698,4025,1
1698,4025,1
1700,4025,1
1700,4025,1
1702,4025,1
1702,4025,1
1704,4025,1
1704,4025,1
1718,1660,1
1718,1660,1
1719,1660,1
1719,1660,1
1722,1660,1
1722,1660,1
1726,1576,1
1726,1576,1
1730,1576,1
1730,1576,1
1732,4694,1
1732,4694,1
1733,4694,1
1733,4694,1
1735,4694,1
1735,4694,1
1739,4694,1
1739,4694,1
1741,1871,1
1741,1871,1
1742,1871,1
1742,1871,1
1745,1871,1
1745,1871,1
1748,1871,1
1748,1871,1
1750,6045,1
1750,6045,1
1752,6045,1
1752,6045,1
1755,6045,1
1755,6045,1
1758,6045,1
1758,6045,1
1761,1365,1
1761,1365,1
1763,1365,1
1763,1365,1
1767,1365,1
1767,1365,1
1768,1365,1
1768,1365,1
1772,5156,1
1772,5156,1
1777,5156,1
1777,5156,1
1778,5156,1
1778,5156,1
1779,3626,1
1779,3626,1
1783,3626,1
1783,3626,1
1785,3626,1
1785,3626,1
1787,3626,1
1787,3626,1
1789,3210,1
1789,3210,1
1793,3210,1
1793,3210,1
1794,3210,1
1794,3210,1
1795,3210,1
1795,3210,1
1799,4103,1
1799,4103,1
1802,4103,1
1802,4103,1
1805,4103,1
1805,4103,1
1808,2501,1
1808,2501,1
1809,2501,1
1809,2501,1
1810,2501,1
1810,2501,1
1813,2501,1
1813,2501,1
1815,2501,1
1815,2501,1
1819,4854,1
1819,4854,1
1821,4854,1
1821,4854,1
1822,4854,1
1822,4854,1
1828,5493,1
1828,5493,1
1831,5493,1
1831,5493,1
1833,5493,1
1833,5493,1
1836,3735,1
1836,3735,1
1838,3735,1
1838,3735,1
1840,3735,1
1840,3735,1
1845,3547,1
1845,3547,1
1846,3547,1
1846,3547,1
1847,3547,1
1847,3547,1
1850,3547,1
1850,3547,1
1852,3547,1
1852,3547,1
1854,1389,1
1854,1389,1
1859,1389,1
1859,1389,1
1862,1389,1
1862,1389,1
1865,2290,1
1865,2290,1
1868,2290,1
1868,2290,1
1869,2290,1
1869,2290,1
1870,2290,1
1870,2290,1
1872,2290,1
1872,2290,1
1873,1310,1
1873,1310,1
1879,1310,1
1879,1310,1
1880,1310,1
1880,1310,1
1883,3203,1
1883,3203,1
1884,3203,1
1884,3203,1
1888,3203,1
1888,3203,1
1890,3203,1
1890,3203,1
1894,4296,1
1894,4296,1
1895,4296,1
1895,4296,1
1899,4296,1
1899,4296,1
1903,5667,1
1903,5667,1
1905,5667,1
1905,5667,1
1906,5667,1
1906,5667,1
1908,5667,1
1908,5667,1
1921,2143,1
1921,2143,1
1923,2143,1
1923,2143,1
1926,2143,1
1926,2143,1
1930,1829,1
1930,1829,1
1936,4224,1
1936,4224,1
1937,4224,1
1937,4224,1
1938,4224,1
1938,4224,1
1941,4224,1
1941,4224,1
1943,4224,1
1943,4224,1
1945,515,1
1945,515,1
1949,515,1
1949,515,1
1950,515,1
1950,515,1
1954,1046,1
1954,1046,1
1956,1046,1
1956,1046,1
1958,1046,1
1958,1046,1
1959,1046,1
1959,1046,1
1968,4583,1
1968,4583,1
1969,4583,1
1969,4583,1
1970,2947,1
1970,2947,1
1971,2947,1
1971,2947,1
1975,2947,1
1975,2947,1
1979,1194,1
1979,1194,1
1980,1194,1
1980,1194,1
1981,1194,1
1981,1194,1
1982,1194,1
1982,1194,1
1984,1194,1
1984,1194,1
1988,2924,1
1988,2924,1
1991,2924,1
1991,2924,1
1992,2924,1
1992,2924,1
1995,2924,1
1995,2924,1
2000,1714,1
2000,1714,1
2001,1714,1
2001,1714,1
2002,1714,1
2002,1714,1
2004,1714,1
2004,1714,1
2007,5524,1
2007,5524,1
2011,5524,1
2011,5524,1
2013,5524,1
2013,5524,1
2016,5524,1
2016,5524,1
2018,757,1
2018,757,1
2020,757,1
2020,757,1
2024,757,1
2024,757,1
2025,757,1
2025,757,1
2026,757,1
2026,757,1
2031,2029,1
2031,2029,1
2032,2029,1
2032,2029,1
2035,2029,1
2035,2029,1
2038,5003,1
2038,5003,1
2039,5003,1
2039,5003,1
2046,5003,1
2046,5003,1
2047,939,1
2047,939,1
2048,939,1
2048,939,1
2050,939,1
2050,939,1
2054,939,1
2054,939,1
2056,665,1
2056,665,1
2058,665,1
2058,665,1
2062,665,1
2062,665,1
2064,665,1
2064,665,1
2066,5249,1
2066,5249,1
2068,5249,1
2068,5249,1
2071,5249,1
2071,5249,1
2076,5828,1
2076,5828,1
2077,5828,1
2077,5828,1
2081,5828,1
2081,5828,1
2083,366,1
2083,366,1
2086,366,1
2086,366,1
2090,366,1
2090,366,1
2092,1334,1
2092,1334,1
2093,1334,1
2093,1334,1
2096,1334,1
2096,1334,1
2099,1334,1
2099,1334,1
2101,46,1
2101,46,1
2104,46,1
2104,46,1
2107,46,1
2107,46,1
2109,5589,1
2109,5589,1
2112,5589,1
2112,5589,1
2114,5589,1
2114,5589,1
2118,5589,1
2118,5589,1
2120,3329,1
2120,3329,1
2122,3329,1
2122,3329,1
2124,3329,1
2124,3329,1
2126,3329,1
2126,3329,1
2129,356,1
2129,356,1
2131,356,1
2131,356,1
2134,356,1
2134,356,1
2135,356,1
2135,356,1
2141,199,1
2141,199,1
2143,199,1
2143,199,1
2144,199,1
2144,199,1
2146,199,1
2146,199,1
2149,2979,1
2149,2979,1
2151,2979,1
2151,2979,1
13932,5288,1
13932,5288,1
13935,5280,1
13935,5280,1
13936,5280,1
13936,5280,1
13940,5394,1
13940,5394,1
13942,5394,1
13942,5394,1
13944,2919,1
13944,2919,1
13945,2919,1
13945,2919,1
13946,2919,1
13946,2919,1
13948,3954,1
13948,3954,1
13950,3954,1
13950,3954,1
13955,2278,1
13955,2278,1
13958,2278,1
13958,2278,1
13959,1933,1
13959,1933,1
13961,1933,1
13961,1933,1
13965,1838,1
13965,1838,1
13969,155,1
13969,155,1
13970,155,1
13970,155,1
13975,6000,1
13975,6000,1
13976,6000,1
13976,6000,1
13977,6000,1
13977,6000,1
13978,6000,1
13978,6000,1
13980,962,1
13980,962,1
13984,4316,1
13984,4316,1
13985,4316,1
13985,4316,1
13987,3881,1
13987,3881,1
13988,3881,1
13988,3881,1
13990,3881,1
13990,3881,1
13991,2815,1
13991,2815,1
13996,654,1
13996,654,1
13998,654,1
13998,654,1
14004,1706,1
14004,1706,1
14008,4804,1
14008,4804,1
14009,4804,1
14009,4804,1
14017,338,1
14017,338,1
14020,4605,1
14020,4605,1
14022,4605,1
14022,4605,1
14023,3124,1
14023,3124,1
14026,3124,1
14026,3124,1
14032,1072,1
14032,1072,1
14033,1072,1
14033,1072,1
14034,1072,1
14034,1072,1
14043,1275,1
14043,1275,1
14045,1275,1
14045,1275,1
15003,4934,0
15004,4934,0
15005,4934,0
15006,4934,0
15007,4934,0
15008,4934,0
15009,4934,0
15010,4924,0
15011,4924,0
15012,4924,0
15013,4924,0
15014,4924,0
15015,4924,0
15016,4924,0
15017,4924,0
15018,5051,0
15019,5051,0
15020,5051,0
15021,5051,0
15022,5051,0
15023,5051,0
15024,5051,0
15025,5051,0
15026,5051,0
15027,5051,0
15028,5051,0
15029,5051,0
15030,2554,0
15031,2554,0
15032,2554,0
15033,2554,0
15034,2554,0
15035,2554,0
15036,2554,0
15037,2554,0
15038,2554,0
15039,3588,0
15040,3588,0
15041,3588,0
15042,3588,0
15043,3588,0
15044,3588,0
15045,3588,0
15046,3588,0
15047,3588,0
15048,3588,0
15049,3588,0
15050,3588,0
15051,3588,0
15052,3588,0
15053,3588,0
15054,3588,0
15055,5338,0
15056,5338,0
15057,5338,0
15058,5338,0
15059,5338,0
15060,5338,0
15061,5338,0
15062,5338,0
15063,5338,0
15064,5338,0
15065,5338,0
15066,5518,0
15067,5518,0
15068,5518,0
15069,5518,0
15070,5518,0
15071,5518,0
15072,5518,0
15073,5518,0
15074,5518,0
15075,5518,0
15076,1578,0
15077,1578,0
15078,1578,0
15079,1578,0
15080,1578,0
15081,1578,0
15082,1578,0
15083,1578,0
15084,1578,0
15085,1578,0
15086,5086,0
15087,5086,0
15088,5086,0
15089,5086,0
15090,5086,0
15091,5086,0
15092,5086,0
15093,5086,0
15094,5086,0
15095,5854,0
15096,5854,0
15097,5854,0
15098,5854,0
15099,5854,0
15100,5854,0
15101,5854,0
15102,5854,0
15103,5854,0
15104,1253,0
15105,1253,0
15106,1253,0
15107,1253,0
15108,1253,0
15109,1253,0
15110,1253,0
15111,1253,0
15112,1253,0
15113,3113,0
15114,3113,0
15115,3113,0
15116,3113,0
15117,3113,0
15118,3113,0
15119,3113,0
15120,3113,0
15121,3113,0
15122,3113,0
15123,625,0
15124,625,0
15125,625,0
15126,625,0
15127,625,0
15128,625,0
15129,625,0
15130,625,0
15131,625,0
15132,3960,0
15133,3960,0
15134,3960,0
15135,3960,0
15136,3960,0
15137,3960,0
15138,3960,0
15139,3960,0
15140,3960,0
15141,3960,0
15142,3497,0
15143,3497,0
15144,3497,0
15145,3497,0
15146,3497,0
15147,3497,0
15148,3497,0
15149,3497,0
15150,3497,0
15151,3497,0
15152,2445,0
15153,2445,0
15154,2445,0
15155,2445,0
15156,2445,0
15157,2445,0
15158,2445,0
15159,2445,0
15160,319,0
