,leaf_ID,disease
11428,4660,healthy
11429,4660,healthy
11430,4660,healthy
11431,4660,healthy
11432,4653,healthy
11433,4653,healthy
11434,4653,healthy
11435,4653,healthy
11436,4779,healthy
11437,4779,healthy
11438,4779,healthy
11439,4779,healthy
11440,3428,healthy
11441,3428,healthy
11442,3428,healthy
11443,3428,healthy
11444,1016,healthy
11445,1016,healthy
11446,1016,healthy
11447,1016,healthy
11448,135,healthy
11449,135,healthy
11450,135,healthy
11451,135,healthy
11452,2975,healthy
11453,2975,healthy
11454,2975,healthy
11455,2975,healthy
11456,2467,healthy
11457,2467,healthy
11458,2467,healthy
11459,2467,healthy
11460,2531,healthy
11461,2531,healthy
11462,2531,healthy
11463,2531,healthy
11464,2896,healthy
11465,2896,healthy
11466,2896,healthy
11467,2896,healthy
11468,4877,healthy
11469,4877,healthy
11470,4877,healthy
11471,4877,healthy
11472,2835,healthy
11473,2835,healthy
11474,2835,healthy
11475,2835,healthy
11476,1449,healthy
11477,1449,healthy
11478,1449,healthy
11479,1449,healthy
11480,4973,healthy
11481,4973,healthy
11482,4973,healthy
11483,4973,healthy
11484,4529,healthy
11485,4529,healthy
11486,4529,healthy
11487,4529,healthy
11488,5729,healthy
11489,5729,healthy
11490,5729,healthy
11491,5729,healthy
11492,3877,healthy
11493,3877,healthy
11494,3877,healthy
11495,3877,healthy
11496,4472,healthy
11497,4472,healthy
11498,4472,healthy
11499,4472,healthy
11500,2385,healthy
11501,2385,healthy
11502,2385,healthy
11503,2385,healthy
11504,1844,healthy
11505,1844,healthy
11506,1844,healthy
11507,1844,healthy
11508,4407,healthy
11509,4407,healthy
11510,4407,healthy
11511,4407,healthy
11512,3254,healthy
11513,3254,healthy
11514,3254,healthy
11515,3254,healthy
11516,5116,healthy
11517,5116,healthy
11518,5116,healthy
11519,5116,healthy
11520,3789,healthy
11521,3789,healthy
11522,3789,healthy
11523,3789,healthy
11524,2781,healthy
11525,2781,healthy
11526,2781,healthy
11527,2781,healthy
11528,4342,healthy
11529,4342,healthy
11530,4342,healthy
11531,4342,healthy
11532,234,healthy
11533,234,healthy
11534,234,healthy
11535,234,healthy
11536,3187,healthy
11537,3187,healthy
11538,3187,healthy
11539,3187,healthy
11540,1787,healthy
11541,1787,healthy
11542,1787,healthy
11543,1787,healthy
11544,2415,healthy
11545,2415,healthy
11546,2415,healthy
11547,2415,healthy
11548,4646,healthy
11549,4646,healthy
11550,4646,healthy
11551,4646,healthy
11552,4918,healthy
11553,4918,healthy
11554,4918,healthy
11555,4918,healthy
11556,5154,healthy
11557,5154,healthy
11558,5154,healthy
11559,5154,healthy
11560,1954,healthy
11561,1954,healthy
11562,1954,healthy
11563,1954,healthy
11564,6009,healthy
11565,6009,healthy
11566,6009,healthy
11567,6009,healthy
11568,5615,healthy
11569,5615,healthy
11570,5615,healthy
11571,5615,healthy
11572,217,healthy
11573,217,healthy
11574,217,healthy
11575,217,healthy
11576,2231,healthy
11577,2231,healthy
11578,2231,healthy
11579,2231,healthy
11580,928,healthy
11581,928,healthy
11582,928,healthy
11583,928,healthy
11584,1758,healthy
11585,1758,healthy
11586,1758,healthy
11587,1758,healthy
11588,2773,healthy
11589,2773,healthy
11590,2773,healthy
11591,2773,healthy
11592,4084,healthy
11593,4084,healthy
11594,4084,healthy
11595,4084,healthy
11596,3943,healthy
11597,3943,healthy
11598,3943,healthy
11599,3943,healthy
11600,4521,healthy
11601,4521,healthy
11602,4521,healthy
11603,4521,healthy
11604,2131,healthy
11605,2131,healthy
11606,2131,healthy
11607,2131,healthy
11608,2833,healthy
11609,2833,healthy
11610,2833,healthy
11611,2833,healthy
11612,1567,healthy
11613,1567,healthy
11614,1567,healthy
11615,1567,healthy
11616,2065,healthy
11617,2065,healthy
